headroom_bytes	size	fuzzy_pct	function	unit	source_path	pp_value
12592.0	12592	0.0	psInterpretParticle0	main/game/ps_candidate_8016F300	src/game/ps_candidate_8016F300.c	0.50467
9184.0	9184	0.0	fn_800096B4	main/game/gs_range_800096B4	src/game/gs_range_800096B4.c	0.36808
7656.0	7656	0.0	fn_80144574	main/game/item_range_80144574	src/game/item_range_80144574.c	0.30684
7167.0	12380	42.11	fn_80084A8C	main/game/menu/cardesavedata	src/game/menu/cardesavedata.c	0.28724
6968.0	6968	0.0	fn_80044630	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.27927
6132.0	6132	0.0	fn_8005E7F0	main/game/menu/menuCB_BattleStart	src/game/menu/menuCB_BattleStart.c	0.24576
6020.0	6020	0.0	__two_exp_800DCCB8	main/dolphin/sdk_range_800C5458	src/dolphin/sdk_range_800C5458.c	0.24127
5732.0	5732	0.0	HSD_ByteCodeEval	main/hsd/hsd_range_801920E4	src/hsd/hsd_range_801920E4.c	0.22973
5376.8	9196	41.53	fn_8007D978	main/game/menu/menu_carde_matrix	src/game/menu/menu_carde_matrix.c	0.21549
5344.0	5344	0.0	generateParticle_8017424C	main/game/ps_candidate_801735EC	src/game/ps_candidate_801735EC.c	0.21418
4692.0	4692	0.0	fn_800643D4	main/game/menu/menuCB_range_800643D4	src/game/menu/menuCB_range_800643D4.c	0.18805
4652.0	4652	0.0	fn_80051E38	main/game/fight_range_80051710	src/game/fight_range_80051710.c	0.18644
4608.8	5668	18.69	fn_8008102C	main/game/menu/cardesavedata	src/game/menu/cardesavedata.c	0.18471
4530.4	4532	0.04	fn_800FF970	main/game/gs_floor	src/game/gs_floor.c	0.18157
4452.0	4452	0.0	fn_80046168	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.17843
4408.9	6508	32.25	fn_801B9320	main/hsd/hsd_texp_candidate_801B4300	src/hsd/hsd_texp_candidate_801B4300.c	0.1767
4304.0	4304	0.0	fn_80042658	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.1725
4114.6	4228	2.68	fightTrainerAiWazaValueHimitunotikara	main/game/fight_trainer_ai_waza_value_candidate_80245FC4	src/game/fight_trainer_ai_waza_value_candidate_80245FC4.c	0.16491
4104.0	4104	0.0	_sysvarsProcessData__FP16sysvarsFuncEntryPc	main/game/gs_range_80033278	src/game/gs_range_80033278.c	0.16448
3944.7	6020	34.47	fn_801CC380	main/game/field_candidate_801CBA90	src/game/field_candidate_801CBA90.c	0.1581
3716.0	3716	0.0	fn_8016AB94	main/game/ps_candidate_8016AB94	src/game/ps_candidate_8016AB94.c	0.14893
3676.0	3680	0.11	fn_801821B8	main/game/people/people	src/game/people/people.c	0.14733
3596.0	3596	0.0	fn_80040308	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.14412
3477.0	3524	1.33	fn_8008AE18	main/game/gba/gba_misc_candidate_8008ABE4	src/game/gba/gba_misc_candidate_8008ABE4.c	0.13935
3295.9	6172	46.6	fn_801CDB04	main/game/field_candidate_801CBA90	src/game/field_candidate_801CBA90.c	0.13209
3292.0	3292	0.0	psDispSubMakePolygon	main/game/ps_candidate_8016AB94	src/game/ps_candidate_8016AB94.c	0.13194
3244.0	3244	0.0	fn_8003E394	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.13001
3220.0	3220	0.0	fn_80034FB4	main/game/gs_range_80033278	src/game/gs_range_80033278.c	0.12905
3191.8	4644	31.27	fightTrainerAiSelectIrekaeDasuFightPokemon	main/game/fight_trainer_ai_irekae	src/game/fight_trainer_ai_irekae.c	0.12792
3179.8	4192	24.15	fn_80141308	main/game/people/people_data	src/game/people/people_data.c	0.12744
3060.0	3064	0.13	cameraUpdate	main/game/camera_candidate_80177A64	src/game/camera_candidate_80177A64.c	0.12264
2996.0	2996	0.0	fn_8003F464	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.12007
2960.0	2964	0.13	fightOutPokemonCheckCanOutOkWazaBanme	main/game/fight_pokemon_range_801FDB78	src/game/fight_pokemon_range_801FDB78.c	0.11863
2955.2	3008	1.75	fn_8001C7B8	main/game/menuPokemon	src/game/menuPokemon.c	0.11844
2914.4	2920	0.19	fn_800FC7E0	main/game/gs_msg	src/game/gs_msg.c	0.1168
2780.0	2784	0.14	_wazaSequenceCameraDoPosition__FP13ModelSequenceP24wazaSequenceCameraParamsfb	main/game/wazaSequenceCamera	src/game/wazaSequenceCamera.c	0.11142
2768.0	2768	0.0	fn_8004A7A8	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.11094
2756.0	2756	0.0	fn_801463C4	main/musyx/runtime/seq_candidate_801463C4	src/musyx/runtime/seq_candidate_801463C4.c	0.11046
2752.0	2752	0.0	fn_800499BC	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.1103
2740.2	3180	13.83	fn_801364A8	main/game/effect/tracefx	src/game/effect/tracefx.c	0.10982
2708.0	2708	0.0	fn_801485FC	main/musyx/runtime/seq_candidate_801485FC	src/musyx/runtime/seq_candidate_801485FC.c	0.10853
2676.0	2676	0.0	psDispSubAppSRT	main/game/ps_candidate_8016AB94	src/game/ps_candidate_8016AB94.c	0.10725
2484.0	2484	0.0	fn_80048918	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.09955
2464.0	2464	0.0	MakeColorGenTExp	main/hsd/hsd_tobj_candidate_801BBDDC	src/hsd/hsd_tobj_candidate_801BBDDC.c	0.09875
2431.8	2484	2.1	fn_80011EA4	main/game/gs_range_80011EA4	src/game/gs_range_80011EA4.c	0.09746
2420.0	2424	0.17	fn_8018CD08	main/game/people/people	src/game/people/people.c	0.09699
2400.0	2400	0.0	fn_800411FC	main/game/menu/pda_range_80037158	src/game/menu/pda_range_80037158.c	0.09619
2388.2	2420	1.32	fightOutPokemonCheckFightActionWazaSelect	main/game/fight_pokemon_range_801FDB78	src/game/fight_pokemon_range_801FDB78.c	0.09572
2324.5	4140	43.85	fn_80094650	main/game/gbaCommunication_candidate_800937F4	src/game/gbaCommunication_candidate_800937F4.c	0.09316
2303.8	2376	3.04	fn_8007CBB4	main/game/menu/menu_carde_matrix	src/game/menu/menu_carde_matrix.c	0.09233
2284.0	2288	0.17	fn_80189990	main/game/people/people	src/game/people/people.c	0.09154
2264.0	2264	0.0	menuPokemonSub	main/game/menuPokemon	src/game/menuPokemon.c	0.09074
2237.2	4796	53.35	GSmodelAddNull	main/game/gs_model_main_suffix_candidate_800E732C	src/game/gs_model_main_suffix_candidate_800E732C.c	0.08966
2224.0	2228	0.18	fn_801ED780	main/game/battle/battle_range_candidate_801ED780	src/game/battle/battle_range_candidate_801ED780.c	0.08913
2222.8	2388	6.92	fn_80031B4C	main/game/gs_npc_event_candidate_8003037C	src/game/gs_npc_event_candidate_8003037C.c	0.08909
2189.2	2792	21.59	fn_800E1544	main/game/gs_range_800E0DDC	src/game/gs_range_800E0DDC.c	0.08774
2176.0	2176	0.0	psCreateGeneratorID	main/game/ps_candidate_801735EC	src/game/ps_candidate_801735EC.c	0.08721
2172.0	2176	0.18	fn_800FD69C	main/game/gs_msg	src/game/gs_msg.c	0.08705
2168.0	2168	0.0	modelShadowRender__FP10GSgfxLayer	main/game/gs_model_shadow_candidate_800E8684	src/game/gs_model_shadow_candidate_800E8684.c	0.08689
2132.0	2132	0.0	HSD_MtxGetScale	main/hsd/hsd_mobj_range_801A86B4	src/hsd/hsd_mobj_range_801A86B4.c	0.08545
2120.0	2120	0.0	fn_801E2CA8	main/dolphin/thp/THP_range_801E1B54	src/dolphin/thp/THP_range_801E1B54.c	0.08497
2120.0	2120	0.0	fn_800BD91C	main/dolphin/sdk_candidate_800BD7A0	src/dolphin/sdk_candidate_800BD7A0.c	0.08497
2110.9	2652	20.4	fightMenuFightTrainerGcHeroOpenMenu	main/game/fight_menu	src/game/fight_menu.c	0.0846
2100.0	2104	0.19	fn_801BAC8C	main/hsd/hsd_texp_candidate_801B4300	src/hsd/hsd_texp_candidate_801B4300.c	0.08416
2089.9	3916	46.63	fn_8009567C	main/game/gbaCommunication_candidate_800937F4	src/game/gbaCommunication_candidate_800937F4.c	0.08376
2088.0	2088	0.0	VIConfigure	main/dolphin/vi/VI_candidate_800A9038	src/dolphin/vi/VI_candidate_800A9038.c	0.08368
2080.0	2080	0.0	fn_8003686C	main/game/gs_range_8003686C	src/game/gs_range_8003686C.c	0.08336
